time,open,high,low,close,volume
1784340000,63917.8,63972.0,63890.0,63914.1,11.78626818
1784343600,63914.2,63973.8,63900.0,63972.6,22.16431533
1784347200,63972.7,63980.9,63900.0,63923.0,7.38152780
1784350800,63923.1,63955.1,63900.0,63913.7,14.21901672
1784354400,63913.8,63978.5,63909.1,63925.0,20.44862135
1784358000,63925.0,63980.7,63924.9,63975.7,13.54362261
1784361600,63975.7,63980.8,63934.3,63953.3,8.19610995
1784365200,63953.4,63956.4,63900.2,63945.0,10.14614376
1784368800,63945.1,63967.3,63944.2,63964.8,8.99268327
1784372400,63964.7,64038.3,63964.6,64018.9,5.92668922
1784376000,64018.9,64200.0,64018.9,64167.0,65.16172927
1784379600,64167.0,64167.0,63932.7,64058.2,32.64689344
1784383200,64058.2,64151.4,64058.2,64084.5,21.69465616
1784386800,64084.5,64114.7,64002.8,64072.9,18.68391561
1784390400,64073.0,64263.7,64043.3,64244.7,36.94750034
1784394000,64244.7,64447.5,64244.0,64447.5,72.60073248
1784397600,64447.5,64600.0,64424.3,64474.7,80.02657106
1784401200,64474.7,64554.8,64436.2,64528.2,25.80015570
1784404800,64528.2,64693.7,64474.4,64658.0,69.10358005
1784408400,64656.8,64800.0,64578.0,64690.6,40.07023273
1784412000,64689.5,64806.8,64666.5,64778.9,17.55763997
1784415600,64778.9,64796.7,64663.8,64796.7,18.98032444
1784419200,64796.7,64844.0,64702.4,64729.2,37.55499241
1784422800,64729.3,64748.1,64709.3,64730.9,44.55911510
1784426400,64730.1,64928.0,64647.1,64783.7,14.10081928
1784430000,64781.3,64781.3,64596.7,64657.5,58.14332187
1784433600,64657.6,64762.1,64584.3,64676.0,18.77898496
1784437200,64676.0,64760.9,64636.2,64693.2,28.48266507
1784440800,64693.2,64705.4,64655.9,64667.6,14.26906891
1784444400,64667.6,64732.5,64641.6,64655.3,9.91450008
1784448000,64658.9,64690.1,64586.2,64653.9,19.56308306
1784451600,64653.9,64674.5,64450.0,64465.1,51.66277516
1784455200,64465.1,64646.7,64450.0,64541.2,20.17348130
1784458800,64541.3,64585.3,64379.5,64418.7,23.77204803
1784462400,64418.8,64419.4,64257.7,64386.5,37.47702114
1784466000,64386.5,64471.2,64256.0,64433.1,30.10596625
1784469600,64433.2,64600.0,64383.3,64549.6,23.45109289
1784473200,64547.4,64576.0,64456.7,64529.6,15.03423759
1784476800,64529.7,64585.2,64474.1,64496.1,15.07688733
1784480400,64496.1,64696.7,64375.7,64508.2,39.02817447
1784484000,64508.2,64508.2,64272.6,64371.3,16.10646242
1784487600,64371.4,64422.4,64323.3,64398.7,10.45181230
1784491200,64398.8,64495.0,64398.7,64486.6,17.19616490
1784494800,64486.6,64500.0,64312.5,64359.8,11.86604970
1784498400,64359.9,64845.6,64308.2,64621.0,60.91720427
1784502000,64621.0,64713.5,64532.5,64678.1,12.44084651
1784505600,64678.1,65045.2,64388.4,64510.9,150.15832266
1784509200,64511.0,64962.6,64463.3,64588.8,71.11535389
